 ,WEEKLY TX VOLUME,TVL,TOTAL XRD STAKED,ACCOUNTS WITH >2000 XRD,FEES BURNED (XRD),(e)XRD TRADED VOL AVG.,XRD PRICE VS. COMP.,USERS
03.09.2023,,,,,,"$1,486,315",87.62%,
10.09.2023,,,,,,"$1,530,097",97.41%,
17.09.2023,,,,,,"$2,222,685",102.22%,
24.09.2023,,,,,,"$1,782,173",107.25%,
01.10.2023,,,,,,"$3,544,351",109.45%,
09.10.2023,,,,,,"$2,887,632",89.24%,
16.10.2023,,,,,,"$2,065,275",75.99%,
23.10.2023,,,,,,"$1,716,667",71.01%,
30.10.2023,,2.76m,,,,"$2,119,624",59.33%,
06.11.2023,,6.42m,,,,"$1,553,185",40.84%,
13.11.2023,,11.85m,,,,"$2,848,473",31.36%,
20.11.2023,,17.87m,,,,"$2,147,057",12.78%,
27.11.2023,"16,519",21.46m,"3,757,320,005",,"9,101","$2,914,467",30.11%,
04.12.2023,"20,831",20.21m,"3,773,436,945",,"12,123","$2,665,033",26.44%,
11.12.2023,"40,218",18.03m,"3,764,249,440",,"23,342","$10,549,078",3.56%,
18.12.2023,"20,545",15.33m,"3,763,385,534",,"9,368","$4,102,816",-24.48%,
25.12.2023,"31,254",15.78m,"3,771,065,719",,,"$10,352,738",-16.26%,
01.01.2024,"29,536",20.03m,"3,784,392,106",,,"$12,377,526",-41.46%,
08.01.2024,"37,412",19.32m,"3,792,854,878",,"25,117","$11,168,446",-15.06%,
15.01.2024,"42,114",21.44m,"3,772,777,200",,"21,669","$7,954,125",-40.00%,
22.01.2024,"38,898",21.42m,"3,822,576,192",,"21,168","$9,085,224",-2.84%,