date,followers,net_new_followers,unfollow,likes,retweets,replies_comments,mentions,impressions,engament_rate
04.09.2023,"205,423",13,,"5,616",879,211,"1,031","291,335",5.08%
11.09.2023,"205,676",253,,"4,790",787,197,"1,188","94,000",8.66%
18.09.2023,"205,743",61,,"8,830","1,276",380,"1,308","233,000",4.70%
25.09.2023,"206,027",291,,"7,524","1,242",315,"1,604","282,653",not plausible (67%)
02.10.2023,"206,346",318,,"9,885","1,637",327,"2,869","459,337",not plausible (81%)
09.10.2023,"206,561",213,,"3,476",597,108,"1,397","116,055",6.50%
16.10.2023,"206,316",-249,,"2,429",400,58,896,"99,126",5.90%
23.10.2023,"206,189",-130,,"1,972",331,83,806,"123,947",7.20%
30.10.2023,"206,136",-41,,"1,303",287,50,549,"136,385",5.40%
06.11.2023,"205,777",-381,,"2,938",831,83,"1,194","95,377",11.37%
13.11.2023,"205,749",19,,"10,051","1,125",411,"1,605","238,822",not plausible (49.3%)
20.11.2023,"205,526",-276,,"3,471",569,123,"1,063","160,733",6.75%
27.11.2023,"205,671",150,,"3,957",604,118,"1,316","187,148",6.45%
04.12.2023,"205,777",93,,"4,272",705,117,"1,101","167,914",5.94%
11.12.2023,"206,034",265,,"3,667",708,207,"1,835","188,345",5.77%
18.12.2023,"205,992",-49,,"3,166",587,143,"1,239","251,033",5.24%
25.12.2023,"206,009",49,,"3,770","2,716",116,899,"150,772",not plausible (369%)
01.01.2024,"206,169",160,,"1,017",178,50,688,"59,213",5.80%
08.01.2024,"206,259",90,,"1,282",255,49,970,"79,741",18.42%
15.01.2024,"206,439",172,,"3,253",452,452,"1,322","178,214",8.13%
22.01.2024,"205,755",654,,"5,217",571,220,"2,571","125,008",43.85%