date,total_views,average_watchtime,new_subs,watch_time,impressions,watch_ratio,unique_viewers
04.09.2023,2600,3.06,6,153,18800,49.70%,1700
11.09.2023,2700,2.26,25,129,16400,28.00%,2100
18.09.2023,2700,4.57,22,226,23800,40.20%,1400
25.09.2023,3200,5.28,21,199,32000,43.90%,2200
02.10.2023,13600,7.19,110,1700,100700,49.80%,6100
09.10.2023,4500,4.33,29,345,40700,33.00%,2600
16.10.2023,3000,4.55,30,245,23700,46.40%,1700
23.10.2023,2400,4.16,13,172,26200,27.40%,1500
30.10.2023,2600,3.5,12,171,31800,32.00%,1500
06.11.2023,2200,3.51,10,148.2,25300,27.50%,1300
13.11.2023,3000,7.02,23,358,30600,47.30%,1800
20.11.2023,3200,7.52,25,436,30600,39.60%,1900
27.11.2023,3100,6.5,31,353,30500,48.20%,1800
04.12.2023,3500,4.51,46,293,41800,48.70%,2100
11.12.2023,2500,4.26,26,190,25400,38.30%,1400
18.12.2023,2000,3.48,15,130,16000,31.40%,1100
25.12.2023,4500,8.15,19,623,49400,65.80%,2400
01.01.2024,2900,4.21,32,216.6,50900,43.10%,1800
08.01.2024,2200,4.03,23,156,22600,30.60%,1200
15.1.2024,2900,5.3,19,266.5,28000,50.60%,1600
22.1.2024,2400,3.53,12,160.1,22300,32.70%,1500
29.01.2024,,,,,,,